iter	Passed	Remaining
0	1	114
1	2	146
2	4	140
3	5	123
4	6	124
5	7	125
6	9	125
7	10	121
8	11	118
9	12	112
10	13	111
11	15	112
12	16	112
13	18	110
14	19	109
15	20	109
16	22	108
17	23	107
18	24	105
19	25	103
20	27	102
21	28	101
22	29	99
23	30	97
24	31	95
25	33	94
26	34	93
27	35	92
28	36	90
29	38	88
30	38	86
31	40	85
32	41	83
33	42	81
34	42	79
35	43	77
36	44	75
37	45	74
38	46	73
39	47	71
40	48	70
41	48	67
42	49	65
43	50	64
44	51	62
45	52	61
46	53	59
47	53	58
48	54	56
49	55	55
50	55	53
51	56	52
52	57	50
53	58	50
54	59	48
55	59	47
56	60	45
57	61	44
58	61	43
59	62	41
60	63	40
61	64	39
62	65	38
63	65	37
64	66	35
65	67	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	71	27
72	72	26
73	73	25
74	73	24
75	74	23
76	75	22
77	75	21
78	76	20
79	77	19
80	78	18
81	78	17
82	79	16
83	80	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	84	9
90	85	8
91	86	7
92	86	6
93	87	5
94	88	4
95	88	3
96	89	2
97	90	1
98	91	0
99	92	0
